GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-spring,at.fhtw.swen3.services.impl,ParcelApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,at.fhtw.swen3.services.impl,WarehouseApiController,10,0,0,0,4,0,2,0,2,0
openapi-spring,at.fhtw.swen3.configuration,HomeController,5,0,0,0,2,0,2,0,2,0
openapi-spring,at.fhtw.swen3.configuration,SpringDocConfiguration,25,0,0,0,9,0,2,0,2,0
openapi-spring,at.fhtw.swen3,OpenApiGeneratorApplication,12,0,0,0,4,0,3,0,3,0
openapi-spring,at.fhtw.swen3,RFC3339DateFormat,36,0,0,0,10,0,5,0,5,0
openapi-spring,at.fhtw.swen3.services,ParcelApi,120,0,12,0,30,0,15,0,9,0
openapi-spring,at.fhtw.swen3.services,WarehouseApi,79,0,8,0,20,0,10,0,6,0
openapi-spring,at.fhtw.swen3.services,ApiUtil,27,0,0,0,9,0,2,0,2,0
openapi-spring,at.fhtw.swen3.persistence,Parcel,155,0,14,0,35,0,21,0,14,0
openapi-spring,at.fhtw.swen3.persistence,HopArrival,155,0,14,0,35,0,21,0,14,0
openapi-spring,at.fhtw.swen3.persistence,Transferwarehouse,206,0,16,0,49,0,28,0,20,0
openapi-spring,at.fhtw.swen3.persistence,NewParcelInfo,83,0,8,0,21,0,12,0,8,0
openapi-spring,at.fhtw.swen3.persistence,GeoCoordinate,121,0,12,0,28,0,17,0,11,0
openapi-spring,at.fhtw.swen3.persistence,TrackingInformation,179,0,14,0,41,0,23,0,16,0
openapi-spring,at.fhtw.swen3.persistence,Hop,257,0,20,0,56,0,33,0,23,0
openapi-spring,at.fhtw.swen3.persistence,Recipient,223,0,18,0,49,0,29,0,20,0
openapi-spring,at.fhtw.swen3.persistence,TrackingInformation.StateEnum,90,0,4,0,15,0,7,0,5,0
openapi-spring,at.fhtw.swen3.persistence,Warehouse,184,0,14,0,45,0,25,0,18,0
openapi-spring,at.fhtw.swen3.persistence,Truck,172,0,14,0,42,0,24,0,17,0
openapi-spring,at.fhtw.swen3.persistence,Error,83,0,8,0,21,0,12,0,8,0
openapi-spring,at.fhtw.swen3.persistence,WarehouseNextHops,121,0,12,0,28,0,17,0,11,0
